""	"QC1_001"	"HU_neg_017"	"HU_neg_018"	"HU_neg_020"	"HU_neg_021"	"HU_neg_027"	"HU_neg_028"	"HU_neg_032"	"HU_neg_034"	"QC1_002"	"HU_neg_037"	"HU_neg_041"	"HU_neg_043"	"HU_neg_044"	"HU_neg_047"	"HU_neg_048"	"QC1_003"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_055"	"HU_neg_060"	"HU_neg_061"	"QC1_004"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_068"	"HU_neg_072"	"HU_neg_077"	"HU_neg_078"	"QC1_005"	"HU_neg_079"	"HU_neg_083"	"HU_neg_086"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_093"	"HU_neg_094"	"QC1_006"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_105"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"QC1_007"	"HU_neg_116"	"HU_neg_118"	"HU_neg_123"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"QC1_008"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_138"	"QC1_009"	"HU_neg_144"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"QC1_010"	"HU_neg_152"	"HU_neg_154"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_163"	"HU_neg_170"	"HU_neg_171"	"QC1_011"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"QC1_012"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_189"	"HU_neg_192"	"HU_neg_196"	"QC1_013"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_204"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"	"QC1_014"	"QC1_001_b2"	"HU_neg_022_b2"	"HU_neg_076_b2"	"HU_neg_166_b2"	"HU_neg_114_b2"	"HU_neg_190_b2"	"HU_neg_139_b2"	"HU_neg_096_b2"	"HU_neg_058_b2"	"HU_neg_031_b2"	"QC1_002_b2"	"HU_neg_039_b2"	"HU_neg_087_b2"	"HU_neg_143_b2"	"HU_neg_162_b2"	"HU_neg_102_b2"	"HU_neg_188_b2"	"HU_neg_095_b2"	"HU_neg_062_b2"	"QC1_003_b2"	"HU_neg_063_b2"	"HU_neg_011_b2"	"HU_neg_074_b2"	"HU_neg_122_b2"	"HU_neg_142_b2"	"HU_neg_030_b2"	"HU_neg_187_b2"	"HU_neg_167_b2"	"HU_neg_113_b2"	"QC1_004_b2"	"HU_neg_081_b2"	"HU_neg_014_b2"	"HU_neg_206_b2"	"HU_neg_119_b2"	"HU_neg_033_b2"	"HU_neg_067_b2"	"HU_neg_140_b2"	"HU_neg_164_b2"	"HU_neg_193_b2"	"HU_neg_112_b2"	"QC1_005_b2"	"HU_neg_097_b2"	"HU_neg_056_b2"	"HU_neg_195_b2"	"HU_neg_135_b2"	"HU_neg_159_b2"	"HU_neg_070_b2"	"HU_neg_038_b2"	"HU_neg_026_b2"	"QC1_006_b2"	"HU_neg_098_b2"	"HU_neg_115_b2"	"HU_neg_137_b2"	"HU_neg_019_b2"	"HU_neg_073_b2"	"HU_neg_168_b2"	"HU_neg_191_b2"	"HU_neg_040_b2"	"HU_neg_046_b2"	"QC1_007_b2"	"HU_neg_103_b2"	"HU_neg_015_b2"	"HU_neg_053_b2"	"HU_neg_121_b2"	"HU_neg_183_b2"	"HU_neg_199_b2"	"HU_neg_042_b2"	"HU_neg_075_b2"	"QC1_008_b2"	"HU_neg_203_b2"	"HU_neg_024_b2"	"HU_neg_082_b2"	"HU_neg_169_b2"	"HU_neg_129_b2"	"HU_neg_057_b2"	"HU_neg_035_b2"	"HU_neg_194_b2"	"HU_neg_145_b2"	"QC1_009_b2"	"HU_neg_177_b2"	"HU_neg_025_b2"	"HU_neg_080_b2"	"HU_neg_117_b2"	"HU_neg_136_b2"	"HU_neg_197_b2"	"HU_neg_036_b2"	"HU_neg_054_b2"	"HU_neg_085_b2"	"QC1_010_b2"	"HU_neg_160_b2"	"HU_neg_092_b2"	"HU_neg_023_b2"	"HU_neg_124_b2"	"HU_neg_147_b2"	"HU_neg_205_b2"	"HU_neg_084_b2"	"HU_neg_120_b2"	"HU_neg_198_b2"	"QC1_011_b2"	"HU_neg_045_b2"	"HU_neg_029_b2"	"HU_neg_069_b2"	"HU_neg_155_b2"	"HU_neg_106_b2"	"HU_neg_146_b2"	"QC1_012_b2"
"Pentose"	11379978	3956068	16471979	5935846	7891943	5790565	7830612	6660184	9094284	11355877	6475589	6413663	13979699	12571202	4178268	10882078	11117352	6748933	16048410	2414822	16156123	5144118	13639067	9436005	11165715	3035134	14070102	10360784	10023508	19413053	11040934	10282843	11472654	8265253	12231397	11873600	9821830	7530472	18488891	17061087	11665925	7899371	11414526	8254416	10802534	4449910	9749041	13957325	1464267	3318525	4455849	11031438	10018227	7848324	7760012	9375173	11087860	8512658	9921405	17334857	13548632	5710327	7539767	14944695	8975952	9470240	9131248	11339661	9439299	13354494	8559106	7863841	11334542	6857602	6462467	4654487	10624116	10471569	6516743	8430357	12297854	8698802	8389891	6760888	6805727	16322152	4475533	7391639	7489062	5663153	1996514	6353293	6261888	7322012	5903614	6915905	5052543	6787356	4847469	6237460	3664141	1412160	5015466	5866233	20423497	40758508	16702822	14505011	16399355	18571687	14709677	131797	11083509	20014345	20640630	43564462	32162272	12052762	36686258	18344870	7943866	18595084	17435293	20049800	18529250	13297144	17200098	20441173	17699693	13212215	6943157	25732522	16210330	20662732	23120920	8333887	21190197	14002619	25151994	18900709	10688208	9882486	14751723	19083477	19329235	25283653	19681610	8199451	16416635	19025469	26164047	11181278	8228545	18034771	17865426	15739685	13166741	12838438	16043698	7478464	12390000	16633336	13117458	17136201	17672646	20391425	11831017	6525569	35381207	11694127	12998900	13318426	13669031	10061237	7234290	21428338	15502742	10932889	9649315	10091892	15266007	18505826	13888889	12683975	9802130	11709026	14043636	7825708	11523758	34155171	7984378	12705520	12076454	11665718	20361082	4870496	20510820	18367301	12325044	26137286	9059148	11994179	11310310	4306092	7710847	7808907	19691880	8394533	5860550	9673561
"Phenol sulfate"	767335	17236984	52292048	24392738	26206670	22883643	48715031	10701224	84760164	776225	28621008	10898625	26813089	7412428	14099164	33033534	830422	199137384	43393355	6426522	29340711	15054138	40025597	16457127	815572	7114531	41199145	46683467	39197400	39767763	50582971	35892645	835873	25182195	26888045	87474497	36490482	23181243	35231574	35921647	20692586	17445754	802064	59802358	32712866	12889363	17176260	52946800	3726080	6914537	9423110	790912	20143886	19556598	19250029	25140470	17766446	29662253	707141	27325048	27096508	29251369	30568898	22814318	55741290	686119	28263726	24408143	67276334	5134808	686222	33746759	9507622	23927615	43024459	13310202	56316508	48906017	22627924	601259	36883631	19678644	18375872	24439044	11938139	14859624	5828434	6620442	575589	12168560	4658526	7538596	18614766	17410213	31165057	485800	16672196	23919343	19213885	25526113	15499900	12627283	19590435	428907	1168875	32123288	40938838	51612619	83546473	222385482	77264818	2892656	72667817	54391304	932499	184866361	54071955	26068050	77488003	647347411	25967756	48875904	54272861	791619	57113745	116115273	50337623	94685985	56119049	51921804	19945915	27263115	84204810	819308	88643164	36419686	45382916	88101995	102407326	80603081	39089613	43038985	39668478	77958821	725588	35181562	39762658	56060380	45869438	27777770	38504603	13930165	33412537	704050	63462308	48563038	74837727	33578503	46946872	17570699	37171036	43921881	90461793	647547	36485185	36192335	76742787	20340667	21561221	113785361	114838333	50551349	748538	92006065	24977496	86602168	16165667	50090607	34971350	56054491	87603972	76861476	640515	134445623	73860903	80478313	57152086	12090091	106155316	45884332	81300014	56765861	643680	31351313	37348687	45582912	140794239	141878683	62270727	25974814	26532231	70988528	617476	26508249	26490955	36704977	18040793	56720045	35067427	532056
"Phe-Tyr-Asp (and isomers)"	6727530	1957574	4717769	5292312	4755602	4278655	7729955	4799804	4361652	6350574	893048	2321829	4808196	2027768	4495804	6579351	5109612	3095650	6006336	1699211	5750352	2610263	6464961	2777061	4956538	2907937	5788757	4334898	5675187	4227742	5648311	6017004	4205200	4246228	5251415	7302965	4082605	3317042	3232507	5392998	3774948	3862704	4098976	3741077	5871124	915085	4454015	1523141	607209	2564076	3460140	3730135	2853177	3100059	4314182	4005088	4085739	3749058	3114977	2159832	1264871	4010069	3297402	4486532	3605475	2727823	1543168	1357730	2890887	262577	2655726	2324938	1016143	2068350	2825957	1920318	3388846	1918818	1351936	2232928	1374145	1528263	2009270	1272823	764886	1969086	1646098	1794516	1969982	640198	1279592	751219	1778995	1974945	2071138	1607199	1437166	1164089	1353163	3327143	1260812	985898	613427	1363765	4974908	5225575	3424323	5540866	4741100	2946474	2888031	607.5	3524113	4041994	4524244	5424406	3745748	4238886	4435242	5021031	1939612	3447383	2865922	4722196	7993278	5209287	3752032	6407394	4618202	3393448	1584789	2707093	4693216	4430800	4384454	1781235	4851352	7478499	6741655	1937098	906307	5177282	2147513	4769101	3960933	3874230	3252819	3301439	4962066	2873530	4127874	754618	3063552	3324504	3881815	4223844	2987767	3387339	3073344	1479388	2469992	3150135	3988631	3557903	3766585	2043085	863278	1347852	2968517	5710064	4277302	3715789	4316712	3209081	3238857	2587176	2172377	3933099	3014914	3010313	2856725	2668103	3257396	2348513	4708069	5489880	4935629	2377304	3735178	2925243	4368154	3092317	3422948	2528191	2812225	2099906	2230682	1251892	2220583	2411142	3092066	2534106	2861412	1621879	1543998	3191322	1579265	4733665	3145705	3433737
"p-Hydroxyhippuric acid"	12639872	3157623	23491470	8267661	5802855	6599516	9707815	4926108	10773306	11155070	19992967	9748149	9730832	3942083	7217265	11673299	11027927	11349753	10343152	2143480	14243931	2719737	10266548	7370705	11082764	4325347	9553007	7111482	8162887	5887209	6996771	9383047	10001507	4743135	7876353	16405222	9925343	5280804	5482491	7950792	12005798	4813469	11504395	6126397	6860970	3897520	4917002	4912132	2178001	2364973	5149132	10090514	6202177	5402900	4688312	7063331	5649289	8621503	8177927	7282503	5574710	11124496	5908446	4425984	14989064	7840822	5293865	18095841	10276337	4247426	7937858	8169681	8729149	5891240	8050943	4005330	9150919	14807845	3955323	6960905	6138665	6951573	5290201	5344755	5760392	5435424	2304653	4472057	5852852	6266130	2975153	2688985	4921126	4648482	6521150	5672311	4511320	6016556	4057601	7265918	7617927	2576211	12301254	5363400	25355028	19133330	11343051	20006128	14717785	14530422	9704710	32499	21346992	37058823	20882421	23617862	20465647	14574002	21163496	21892610	9921954	15560377	83435345	21724720	25570759	16525165	26941343	20829779	16567555	17158348	6967542	10868694	14384197	21131934	35284941	21099793	58953823	28765693	16825719	14685593	14723882	9333601	8578643	9523829	18513002	26415280	19533560	9943966	15334144	8293025	10732229	3859657	9838347	17815879	10230636	35196447	10825851	9500425	18792672	8603257	6288184	12736566	23413940	16088633	16280861	6440758	2291623	4874498	14326497	20002458	14794648	10625689	17674533	9994894	6382592	37696656	11691393	7241686	12537981	11769737	16822149	12419889	15418040	15679901	14170475	21539612	23621866	3573870	15548943	21498991	11575165	18552074	13530443	9737638	10882409	4094392	19674512	9854841	17203148	12529898	18028380	19519972	12763452	4284304	5807846	5838417	8989782	11303928	5917079	10885020
"p-Hydroxymandelic acid"	1120927	528469	2841597	151831	558529	304764	643267	239034	1264042	1129040	410784	231468	790208	103963	226575	1006332	1183391	1659482	939307	178102	1444818	110051	1788520	886710	1071050	77112	1708709	633363	635092	1517158	1595440	1644717	1159250	731535	1016624	3622049	483389	737513	1529479	1185627	519999	1012572	1145297	875280	973957	615370	756426	667006	365946	116450	253857	1073952	581369	300962	593559	689887	1092669	857294	967241	584287	518592	817493	768652	703956	2197923	901724	771022	1476104	728793	91632	844046	848355	304699	437798	949725	271439	3059459	630997	376322	755817	456498	627021	551226	424089	451784	704880	136560	160570	694901	1477749	99969	130451	687265	955251	557744	656228	437953	777582	844445	763233	287492	149314	801054	540129	2250930	1436433	1622845	2211403	1441333	2930173	1998616	2755	1436602	2767550	2347107	2533061	1314209	699730	1799272	2297696	261782	1215235	5933660	2420406	1803746	1579528	2132469	3230502	3321092	1231513	351935	574052	2021275	2316278	2768553	374876	1515499	2883699	2161680	1682608	775782	564460	1484764	3774954	2086312	1072067	2339610	1130946	1365368	1217005	831862	176919	586477	2048071	1421136	1611255	2320060	1028277	2070417	454712	1089427	2255368	2186969	1996087	1625629	1743307	161619	665745	4803070	3649696	3293603	1075822	1671522	1273018	656881	1389690	349842	747085	2098959	1880866	2093600	3142304	1687392	2614360	569516	1241882	5786230	214950	2937948	1637761	2613417	1757844	1393085	1196456	4459313	347621	3500693	1732461	2402126	451680	632510	1136530	1332439	130507	810754	725144	2205393	2004142	1125066	1029735
"p-Hydroxyphenylacetic acid"	576859	138322	629771	78171	343584	67209	321198	136342	634152	628781	396909	105363	636696	105293	317678	756803	460430	508105	236528	23206	711422	83444	698718	218177	559052	53946	321908	592144	348396	286987	260282	689221	564142	193284	546862	1353253	901864	468265	399145	1287398	111809	234211	575288	513799	950333	78505	230317	658492	33078	46647	112024	554892	171188	107823	455324	179869	734519	403044	544706	769516	1278475	237346	305183	288655	292052	473734	1364943	967215	634579	209368	391035	402876	136074	176557	185831	97531	221223	472003	165785	348554	346818	1287000	143021	369480	359841	156016	43262	90214	301110	485091	70512	85691	626308	400363	378113	374399	295047	392782	166782	747198	142948	39211	159999	239303	1342382	1575026	600914	843118	690910	2953079	983830	4774	602174	2102743	867368	814522	454501	313879	2590268	698037	166396	1062771	1680388	959273	1680007	527029	539474	724637	1801413	1179526	186699	225276	1279410	966823	816622	163347	2786798	668231	1066316	1425432	1140647	340711	1304180	738560	850095	978487	502774	631631	1318448	941867	998921	163127	393569	807139	739740	323405	834844	572297	1736714	326550	484590	655641	915836	888105	1154005	859248	165915	261986	3084129	843012	632786	622889	1097986	873904	12361	2060359	621118	541740	578473	822581	1425697	1493448	1236185	612450	418594	761778	481198	420312	854232	1488335	871301	1448584	1088997	986969	1712592	287924	1411822	730300	476579	1401123	535129	1601442	1001731	230782	301998	567850	2341058	922752	617997	924092
"Porphobilinogen"	1890791	486293	2707965	498880	1282165	550869	1402366	976390	1128807	1811090	846725	528476	2153819	449030	525525	1708571	1848057	1573276	1444771	176446	997500	256919	1866261	571703	1815280	474619	3315022	1904485	1583087	3307019	1676745	1383594	1782423	1320349	1582521	1193327	1309763	1279640	1778610	1771014	986145	2659896	1860337	1450572	1577858	518589	1422191	2223034	259156	251154	571164	1495347	542904	494530	1304633	815068	1428466	682628	1435757	1363471	1614606	1667410	1115752	1293792	1004404	1371181	3734238	1336030	1618146	1077890	1204281	2116327	820060	757206	762692	701281	1421818	1196347	463451	1194212	836537	528960	1083390	1172753	1269093	1046416	530849	583120	1031989	706106	292180	504941	1350856	4102754	952906	950598	882112	1052592	1366891	1233128	479666	232367	1631979	825683	2725847	2254246	2753810	1966292	2997367	5055420	2658273	607.5	1783614	17112222	2789307	3071819	2158515	1965341	2913106	1867531	592235	3219982	2659315	2558785	3388842	965949	3576557	2495504	1985251	1772712	505928	1518274	3007656	2501168	3255798	962334	3626295	1442094	1900699	2101327	1346134	1483658	3777072	2278638	2356476	2095237	2979145	1926985	1817947	1742947	2382901	299953	546674	2365463	1655765	3339605	3067570	1335576	4184729	1027927	2581418	3441973	1270707	2147646	1281499	1549208	591373	457743	1808439	2451932	2269824	1624616	1717865	2560869	2052746	7834195	990763	1949181	3617882	1598007	3355099	2356958	1772214	2065142	1589706	2548930	1986140	988897	3008722	2210868	2874874	2268494	1394060	172024	1744849	856967	3241793	2026236	1945517	740636	1497270	2039326	1352717	327410	1596725	1084130	850073	1386527	1363891	1146982
"Pyridoxic acid isomer 1"	4149306	507400	7902884	988680	2292488	782313	4856485	981169	503004	3598235	2130902	1023527	3930576	363663	892118	10977030	3737815	5956605	5525880	254955	1503199	2177152	6090249	769318	3610775	3086504	3927693	6761008	5486130	4313126	9510556	4555074	3550524	1565274	3934718	10964665	4273023	1599761	2752883	2817095	722056	1433683	3596004	3152489	4142610	855283	2328518	1825109	121178	330762	1240856	3274714	43710992	997827	5058591	2834994	2397201	3495935	3035977	1788566	1844203	3557213	2634372	3250147	4401350	3075651	2033855	2240201	5724845	616138	2719803	3271669	681877	1619071	2005767	2022572	3053435	2694606	929271	2503518	1565464	417572	789625	2706065	3686210	631729	290810	698772	2235677	1588697	223810	249193	1872411	6138577	2736223	1922021	1622044	3701720	1247414	2049664	917574	465988	2108399	1785334	14881664	9585048	3153322	10434662	12859378	27860934	14066253	607.5	10532530	6083042	15330338	18300220	10381995	6775200	18338212	12219016	2640179	9095868	17966689	14282244	42601014	12743075	15317688	23633853	38319356	8886700	12719346	15665537	21412050	13613421	19695308	4276699	9905666	21358813	33512214	6821979	6875578	4446798	25877019	16377840	12108796	5968562	4961466	8286116	14420053	7689786	8692657	693185	3256123	12638355	4899039	9557133	10702425	5661755	12468510	1642709	10245501	12530004	9511953	10574173	8369060	4800275	1467152	3708234	4758377	12313787	18069489	12443528	11097380	5100336	2956962	9471982	1493639	4519599	4732329	29610015	15684186	17897401	10376836	8949448	9663585	18484191	13859039	751423	23232727	14264998	16295947	3887988	9126898	7845474	8238760	3501955	7223657	8624873	7399474	3635483	16621131	8874905	8315877	895109	5538822	9994456	2851607	16905160	6418248	7221992
"Pyridylacetylglycine"	1566321	553496	1846000	659163	1347555	412322	1360414	605682	671081	1365515	769031	639530	1849660	187662	541646	1530600	1528255	1846815	1578933	192601	1577347	1118475	2188970	791430	1432436	366679	1207597	1967916	2498006	2175207	1603770	2160321	1281674	1267338	2148027	1632276	1125763	1439407	1530778	1248032	302705	1021305	1392233	1239980	1258902	559288	740202	1244300	418277	248633	545894	1220793	552775	644228	1328962	1302203	1158789	1251406	1087712	756365	713690	1165860	1083457	959395	1207257	991957	913869	655474	1115926	176121	945892	1550712	270315	860152	730286	513416	711200	1095827	379368	906244	417816	134762	816724	1141595	1127714	432372	339683	382040	712690	784275	173302	208849	833004	1199544	1169796	662226	793487	954705	930170	731161	756085	354328	986786	587132	2311078	1051627	1246421	1676763	2619549	2652906	3689396	607.5	2128547	1234959	2028317	1565589	2016216	1851549	571232	3819067	769267	2405805	2629339	1917257	2858614	1054619	2903775	4099773	2576652	1240156	571427	577787	3688307	1851701	2419554	743074	1442552	1534899	2525999	2853974	1600427	1403024	2746633	2054145	1757757	1123451	900164	1206836	1463149	1087482	1043413	200107	1074698	1604859	1651266	1996780	1713956	1660092	2413404	800906	2495713	2205151	1904245	1523357	1573257	1084557	471654	710869	926741	2735553	2716118	1761945	1526857	1734931	1006664	1414982	612783	1066063	1622604	1687952	1134227	2360256	1427840	2083943	1950161	3043940	2368661	360302	3248321	968694	2214254	3727344	1354809	1220715	1322237	998044	1285642	806999	2392710	586429	950732	1105789	1201401	354834	1109177	1427858	163919	1483255	1137922	993247
"Pyrocatechol sulfate"	42976517	11607418	24323334	14730691	25694947	14024925	49620101	22799152	30099838	41423634	17018896	11048574	41389990	18699670	15876875	39940669	41528012	31835008	58940144	12488870	68497908	10004722	64488391	19227017	40474379	8962001	44590713	32764758	41199066	52188422	62519060	38798492	38694309	16873443	51118937	77428318	34109105	28425574	47230948	51139813	37239895	25034541	43024521	29823451	31572941	5794247	37329978	48310971	6059883	13937563	13884009	37988694	21133173	23021238	24456605	29851586	29803479	30308947	31948299	41678841	37296740	54578078	18553464	54450100	32051335	30647055	35187341	33666263	22225344	32595055	30431055	27213734	24338107	24288847	33836553	10863259	36764664	27006263	18971884	28129851	31492730	29449516	24037278	14434231	13096897	40040980	8716754	13839977	23279834	15982004	3817433	16659661	17916742	20130977	34893796	22784130	23937370	13580894	13985936	33048815	13279922	5150883	15115444	20264275	94430196	145050453	72703867	71207505	56178257	83067480	49530102	607.5	42361820	105392712	78897797	159876610	69322717	42580161	323520200	56754267	19351779	44418957	57329612	74573985	88745510	104407226	61925096	79585185	62141378	45213491	26800006	68268090	59207762	73496476	67690895	33609612	60974164	57295298	105679941	49143622	35148152	56439949	36115802	60441129	66346127	88813722	48427717	30472484	75302151	40552047	77386118	23763524	33912305	63228367	48350481	34243845	45698041	52223834	20075090	25586601	25243563	50545892	32018230	58519377	54259880	64810774	30150133	22325466	149621363	58838429	87222298	133760168	82033802	37487933	36066343	101656434	59642545	79429524	58049311	57655531	101728565	96938127	66866915	41672824	77347637	114516438	78959981	34257121	51261555	143489618	69624053	76609288	71030949	56829766	93310278	12584150	95110257	78306513	52509367	70386114	66832083	67239752	61512207	18037593	52249665	35710849	66166684	87692774	50416257	64729652
"Pyroglutamic acid"	1437424	423258	1286926	497558	594322	390567	1100633	828084	593029	1498190	702548	582327	1269535	515726	490043	1376124	1303367	1373864	1377982	263047	911189	354868	1064960	622174	1383194	261797	1050992	990528	940621	2723810	1163270	824797	1230796	837392	931634	2226675	812674	700219	1092494	1155439	448920	1083256	1271923	1035387	772253	561660	1172772	1207702	203987	431388	376999	1091583	728039	470685	667065	860222	793485	655678	992875	1034556	921499	937128	415916	1121188	1099749	868368	737329	10547513	1035231	488515	863858	755584	9458697	411506	607030	254872	1134988	479454	447261	704927	607812	874000	394045	387240	510109	487834	201208	312736	624897	189553	147305	254013	460168	545882	547369	588150	361084	450224	482536	778634	276605	162357	489724	509580	2668814	3017226	2498527	1515006	2328065	3203966	2280036	757238	1723803	1697343	2665291	3477089	2250952	1024960	6533678	2114137	823502	2173571	2670392	2502983	3048591	1280470	1263199	2757198	2446434	1526301	877999	2124941	2082900	2501216	2632226	932956	1905061	2379379	3379632	2383803	1619447	1126595	1538505	2406965	2270708	2242858	1615646	1059774	1888272	1981032	2544954	815277	1084081	2050065	1265062	1250972	1648773	1309405	1133453	480176	1351170	2113117	1380145	2058986	1335497	1731497	1122884	806724	1577665	1893012	1714548	1565901	1800084	1199215	673270	1782902	827930	922991	3698071	1394086	1862637	2630630	1720175	1574497	1349333	1381829	2076052	575536	1514541	5494032	2010867	1473853	1499688	883056	1717235	622519	1770559	1738630	1310437	1183795	724557	1939521	1366756	317612	832840	979118	931704	1326853	853461	1144621
"Pyrroledicarboxylic acid"	286708	29171	94846	35147	133672	7568	94862	119715	210560	273187	18399	40619	362757	345413	28981	171747	284482	8796	465331	5060	391497	37348	673537	146557	250253	17575	265835	46719	101604	1571285	81770	102938	273582	130464	211759	405174	73785	124160	452636	493639	285715	196353	277152	150923	169836	12311	783742	280863	6825	14170	46234	252470	188389	113389	123903	116889	485034	83946	199105	296886	379780	353591	84584	216420	357659	205891	55233	460591	95524	421931	189001	65964	438369	11701	96146	85058	461725	180840	69932	172643	221881	435638	175141	951598	18814	436518	61424	174900	152205	50894	11504	186788	49567	103315	152183	123965	59282	264082	7944	75022	55160	3088	144339	102429	577771	1491059	358746	344191	432345	412556	335563	607.5	290303	454384	531547	1716083	1018844	235751	1270614	607.5	607.5	17017	558482	534591	266535	183575	500083	185503	107176	336983	34839	785154	390907	498140	1572698	142772	54320	370109	405891	248271	106322	100925	64791	535438	441238	550789	972857	197478	803388	427226	390551	179555	99001	468798	452941	11649	136786	364756	180998	214361	171184	461035	45447	411712	327859	592950	353790	28393	1058872	499855	76511	83417	340674	145776	51669	542500	557337	421528	154547	31970	415163	261667	368716	165218	42049	77293	696694	144039	35092	1498079	168969	770181	273357	327864	175943	3553	225051	859417	62898	1211752	50649	270904	255138	34030	146554	90264	391599	308157	132845	200460
"Pyruvic acid"	2228992	238361	1115081	372741	977350	217234	1014081	516144	534626	2459178	395245	298175	2400575	185657	484022	1492130	2550021	1567592	1255196	3508069	755146	706374	1543123	1058952	2764978	265256	2900241	1629948	1754309	1610750	1233150	1071346	2779834	435914	1432194	2100915	1048603	1018378	1488505	1657849	745504	894587	2881783	1686578	1972816	361874	1091221	926689	168991	267982	539015	2930558	566842	685502	798620	803719	904397	1176920	2772596	831616	579707	1562952	1031298	1211855	1243472	3023207	1189012	1064359	1971441	354756	2852847	1085997	703568	453225	590151	583189	1628419	1574982	774567	2912517	619716	458324	1246490	1660145	1380296	1067962	217569	465113	2639336	894145	273182	328863	1592131	1087485	1614701	2574164	730602	952845	718167	1225849	789359	292444	824447	2385219	4301373	965289	995068	3172360	3636413	3402503	4910757	1191743	1381233	1864080	4583425	1341576	2317062	1601289	5528392	3903664	689081	1137451	3273548	4690022	6473473	394575	3638255	2301190	3509539	2965875	282679	231533	1932379	4826466	8580593	837721	3291207	1914753	2254667	1777291	1295621	1321296	3328682	1424367	4666747	868046	2167666	1742428	2626144	1122030	3162310	118325	843288	4606369	4530326	4574076	2241580	1526093	1578749	1273599	1637253	5065540	2567292	4654747	2345706	870649	449895	419864	971978	1971155	4988547	2147491	3891233	1368078	1368531	2481298	684247	2649088	2319357	2249799	4358983	1352322	3987798	1823028	770040	2555838	1178526	435916	1231494	1408554	2390755	1616588	3590749	2332931	1097159	1021206	1171670	3474799	1865044	622538	2013568	2065482	3806933	1006136	950871	804492	604206	1138285	1058431	3204413
"Quinic acid"	6057688	3735085	1489568	332026	68276	117074	3272320	3424796	5814287	6296842	4010155	44789	89685	6856301	1431749	366890	6322853	2099305	12863022	149832	6381109	6094283	9868181	2623309	6221750	2859513	5649439	2838950	6972038	10230955	7049631	6280225	6263925	4711115	10385472	19842197	6799077	6387304	7661874	11052944	8664274	2833034	6473866	2257009	18277207	870146	7061534	13098590	35612	1313160	3349907	6177815	7296432	7678075	4190884	8947011	8313957	4959433	5755794	8841228	9034332	5372610	5927481	10766620	7037407	5477289	7429372	4593450	5518154	10922376	5217806	4528079	5153555	745773	7937075	181459	4329379	6537722	6897610	5094026	4619685	8124309	7747107	2741342	60495	8126077	2083785	3359296	4780202	1292700	147755	5124143	416161	1743406	533375	4349862	9377853	78402	443115	7651817	1267612	515461	1468003	3925596	10474724	18640156	9398818	12886582	10029602	404122	13887842	4523	2970811	2191610	10419660	24457520	15933423	8548424	26053729	8769578	137522	7466798	213388	10167723	1087050	6774950	109288	8239664	561019	6963656	68282	22158681	1784650	10101200	1831972	3703818	5449038	10830484	12702568	5024566	7677038	9275615	8080	30706485	9600308	16796258	835237	4794538	10060908	6719203	8742100	5566052	7224729	9166544	15796056	2225353	2959631	10655009	5515342	26440	296663	9580922	7813548	8883286	4239757	9318863	6168775	8521	17239758	138115	3544793	10557742	7788944	60076	4343124	4381509	14604653	15103355	6771077	7175549	6437693	933468	7410651	8318855	5036179	1782071	5238686	3788355	21365	19994461	2959924	6113241	6833029	1058905	7905401	7969378	11191873	10917774	6856042	16000537	1788695	12464220	6369951	3468169	6413892	8617999	14001840	12554414	4584226	5798575
